,Year,Franchise,Genre,Platform,Publisher,Developer
2162,1999,Undefined Franchise,Simulation,PS,Konami,Konami
2163,2009,Undefined Franchise,Sports,DS,O-Games,Rebellion Developments
2164,2016,Undefined Franchise,Action,PSV,Idea Factory,nan
2165,2001,Undefined Franchise,Sports,PS2,Midway Games,EA Black Box
2166,2008,Undefined Franchise,Action,DS,Activision,Artificial Mind and Movement
2167,2002,Tekken,Fighting,PS2,Namco,Namco
2168,1991,Undefined Franchise,Action,SNES,Namco,Namco
2169,2013,Undefined Franchise,Role-Playing,PS3,NIS America,imageepoch Inc.
2170,2008,Undefined Franchise,Strategy,X360,Namco Bandai,Namco Bandai Games
2171,2018,Undefined Franchise,Sports,NS,505 Games,Psyonix Studios
2172,2004,Undefined Franchise,Action,GBA,Activision,Torus Games
2173,2015,Undefined Franchise,Action,PSV,Idea Factory,nan
2174,2011,The Sims,Simulation,PC,Electronic Arts,The Sims Studio
2175,2018,Undefined Franchise,Visual Novel,PSV,Prototype,Prototype
2176,2011,Undefined Franchise,Racing,X360,Capcom,Monumental Games
