,Year,Franchise,Genre,Platform,Publisher,Developer
3252,2008,Undefined Franchise,Action,DS,Blast! Entertainment Ltd,Blast! Entertainment Ltd
3253,2006,Undefined Franchise,Puzzle,DS,Nintendo,Mitchell
3254,2010,Star Wars,Action,PC,LucasArts,LucasArts
3255,2015,Batman,Action,XOne,Warner Bros. Interactive Entertainment,Rocksteady Studios
3256,2008,Undefined Franchise,Puzzle,PC,Mumbo Jumbo,07th Expansion
3257,2003,Undefined Franchise,Action,XB,Microsoft Game Studios,Rare Ltd.
3258,2006,Undefined Franchise,Racing,PC,Black Bean Games,MileStone Inc.
3259,2003,Undefined Franchise,Platform,GC,Namco,Argonaut Games
3260,2012,Undefined Franchise,Action,PS3,Namco Bandai Games,Dimps Corporation
3261,2001,Undefined Franchise,Shooter,PS,Take-Two Interactive,Runecraft
3262,2005,Undefined Franchise,Misc,DS,Atari,Taniko
3263,2009,Guitar Hero,Misc,PS2,Activision,Neversoft Entertainment
3264,1996,Undefined Franchise,Fighting,PS,Sony Computer Entertainment,DreamFactory
3265,2006,Undefined Franchise,Shooter,PC,Sierra Entertainment,Irrational Games
3266,2002,Undefined Franchise,Sports,PS2,Konami,Konami
3267,2017,Undefined Franchise,Action,PS4,Focus Home Interactive,DECK13 Interactive
3268,2018,Dragon Ball,Fighting,NS,Bandai Namco Entertainment,Arc System Works
3269,2011,Undefined Franchise,Action,PSP,Konami,Konami
3270,1992,Street Fighter,Fighting,SNES,Capcom,Capcom
3271,2010,Undefined Franchise,Puzzle,GBA,nan,Eighting
3272,2002,Undefined Franchise,Adventure,PS2,3DO,3DO
3273,2016,Batman,Action,XOne,Warner Bros. Interactive Entertainment,Rocksteady Studios
3274,2005,Undefined Franchise,Role-Playing,PS2,Square Enix,Racjin
3275,2018,Battlefield,Shooter,PC,Electronic Arts,EA DICE
3276,2004,Undefined Franchise,Adventure,GC,Konami,Krome Studios
3277,1995,Undefined Franchise,Racing,SNES,Banpresto,07th Expansion
3278,2009,Undefined Franchise,Simulation,Wii,Electronic Arts,EA Redwood Shores
3279,2003,Undefined Franchise,Platform,PS2,THQ,Blitz Games
3280,2008,Undefined Franchise,Sports,DS,Atari,Humongous Entertainment
3281,2002,Undefined Franchise,Sports,GBA,THQ,Smilebit
3282,2008,Undefined Franchise,Simulation,DS,Majesco,Gogii Games
3283,1995,Rayman,Platform,PS,Ubisoft,Ubisoft Montpellier
3284,2017,Undefined Franchise,Action,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales
3285,1982,Undefined Franchise,Sports,2600,Atari,Atari
3286,2008,Undefined Franchise,Role-Playing,X360,Square Enix,Square Enix
3287,2012,Dragon Ball,Misc,X360,Namco Bandai Games,nan
3288,2013,Undefined Franchise,Role-Playing,PS3,Tecmo Koei,Gust
3289,2011,Tom Clancy's,Action,3DS,Ubisoft,Gameloft
3290,2008,Undefined Franchise,Adventure,DS,Empire Interactive,07th Expansion
3291,2006,Destiny,Strategy,DS,Namco Bandai,Big Blue Bubble Inc.
3292,1998,Undefined Franchise,Adventure,PS,Sony Computer Entertainment,nan
3293,2016,Battlefield,Shooter,PS4,Electronic Arts,EA DICE
3294,2010,Undefined Franchise,Adventure,DS,Idea Factory,Idea Factory
3295,2005,Undefined Franchise,Platform,DS,Namco,Namco
3296,1998,Civilization,Strategy,PS,Activision,07th Expansion
3297,2002,Undefined Franchise,Sports,GC,Sega,Black Box Games
3298,2007,Undefined Franchise,Sports,PS2,Atari,Humongous Entertainment
3299,2017,Undefined Franchise,Platform,PC,04-Aug,07th Expansion
3300,2012,Tales,Action,PSP,Namco Bandai Games,Bandai Namco Games
3301,1994,Undefined Franchise,Racing,GEN,Sega,Sega-AM2
3302,2019,Undefined Franchise,Platform,PS4,NIS America,Nippon Ichi Software
3303,2007,Undefined Franchise,Adventure,DS,Electronic Arts,Visual Impact
3304,2010,Undefined Franchise,Strategy,DS,KOEI,Koei
3305,2006,Undefined Franchise,Adventure,PS2,Media Works,Vridge
3306,2009,Undefined Franchise,Puzzle,DS,O-Games,Oxygen Interactive
3307,2002,Undefined Franchise,Racing,PS2,Electronic Arts,Electronic Arts
3308,2008,Undefined Franchise,Misc,PS2,Electronic Arts,EA Bright Light
3309,2011,Undefined Franchise,Puzzle,PC,Mumbo Jumbo,MumboJumbo
3310,2011,Undefined Franchise,Adventure,PC,Big Fish Games,Boomzap
3311,2014,Undefined Franchise,Role-Playing,PC,nan,nan
3312,2008,Undefined Franchise,Adventure,PSP,Nippon Ichi Software,Nippon Ichi Software
3313,2004,Undefined Franchise,Action,XB,Eidos Interactive,Ion Storm
3314,2015,Undefined Franchise,Action,PS3,D3Publisher,nan
3315,2009,Undefined Franchise,Fighting,DS,Konami,Konami
3316,2007,Undefined Franchise,Misc,DS,Paon,Paon Corporation
3317,2008,Undefined Franchise,Action,PS2,KOEI,Omega Force
3318,2010,Tom Clancy's,Action,PS3,Ubisoft,Ubisoft Bucharest
3319,2015,Undefined Franchise,Sports,PS4,Nordic Games,Rainbow Studios
3320,2012,Undefined Franchise,Action,PC,Microsoft Studios,Klei Entertainment
3321,2016,Undefined Franchise,Role-Playing,PS3,Square Enix,tri-Ace
3322,2010,Undefined Franchise,Misc,PS3,MTV Games,Harmonix Music Systems
3323,2006,Undefined Franchise,Shooter,XB,Global Star Software,Torus Games
3324,1994,Undefined Franchise,Fighting,GEN,Sega,"Treasure Co., Ltd."
3325,2009,Undefined Franchise,Simulation,DS,Valcon Games,NEKO Entertainment Yullaby
3326,2003,Dragon Ball,Fighting,GBA,Atari,Webfoot Technologies
3327,2012,Undefined Franchise,Fighting,PSP,Namco Bandai Games,Bandai Namco Games
3328,2001,Undefined Franchise,Sports,PS2,Konami,07th Expansion
3329,1997,Undefined Franchise,Shooter,PS,GT Interactive,07th Expansion
3330,2010,Undefined Franchise,Strategy,DS,Ubisoft,Ubisoft Quebec
3331,2003,Undefined Franchise,Action,XB,Acclaim Entertainment,Acclaim Entertainment
3332,2009,Undefined Franchise,Strategy,PC,2K Games,FireFly Studios
3333,1988,Undefined Franchise,Shooter,NES,04-Aug,Hudson Soft
3334,2000,Age of Empires,Strategy,PC,Microsoft,Ensemble Studios
3335,2002,Undefined Franchise,Shooter,PS2,Infogrames,Melbourne House
3336,2012,Undefined Franchise,Action,DS,D3Publisher,nan
3337,2011,Undefined Franchise,Simulation,PC,Ubisoft,1C: Maddox Games
3338,2014,Undefined Franchise,Music,PS3,Sega,Sega
3339,2010,Undefined Franchise,Adventure,X360,THQ,THQ Australia Studios Pty Ltd.
3340,2002,Undefined Franchise,Sports,PS2,EA Sports,NuFX
3341,2005,Undefined Franchise,Racing,XB,THQ,Rainbow Studios
3342,2012,Undefined Franchise,Misc,PC,Deep Silver,nan
3343,2004,FIFA,Sports,XB,EA Sports,EA Canada
3344,1998,Undefined Franchise,Action,PS,Midway Games,07th Expansion
3345,1999,Undefined Franchise,Racing,PS,Atari,Pitbull Syndicate
3346,2009,Undefined Franchise,Simulation,Wii,Electronic Arts,EA Salt Lake
3347,2009,Undefined Franchise,Adventure,PS2,5pb,5pb. Inc.
3348,2014,Pac-Man,Platform,WiiU,Namco Bandai Games,Monkey Bar Games
3349,2004,The Legend of Zelda,Adventure,GBA,Nintendo,Nintendo
3350,2017,The Elder Scrolls,Role-Playing,PS4,Bethesda Softworks,Bethesda Softworks
3351,1982,Undefined Franchise,Shooter,2600,Atari,07th Expansion
3352,2016,Undefined Franchise,Action,PS4,Namco Bandai Games,Namco Bandai Games
3353,2010,Undefined Franchise,Adventure,PS2,Comfort,07th Expansion
3354,2009,Undefined Franchise,Action,X360,Atari,Terminal Reality
3355,2014,The Walking Dead,Misc,PS3,Telltale Games,Telltale Games
3356,2002,Undefined Franchise,Adventure,GC,Nintendo,Capcom
3357,2001,Undefined Franchise,Shooter,PS,Take-Two Interactive,Runecraft
3358,2001,Undefined Franchise,Shooter,PS2,Namco,Wow Entertainment
3359,2002,Undefined Franchise,Sports,GC,VU Games,Papaya Studios
3360,2017,Undefined Franchise,Role-Playing,PC,Bandai Namco Entertainment,Aquria
3361,2005,Mortal Kombat,Fighting,GC,Midway Games,Midway Games
3362,2008,Undefined Franchise,Action,X360,KOEI,Omega Force
3363,2010,Undefined Franchise,Misc,Wii,Nintendo,ImaginEngine
3364,2011,Undefined Franchise,Visual Novel,PSP,Kadokawa Shoten,Nitro+
3365,2016,Dragon Quest,Role-Playing,PS3,Square Enix,Square Enix
3366,2004,Undefined Franchise,Misc,GBA,Majesco,Majesco Games
3367,2011,Undefined Franchise,Role-Playing,PC,Paradox Interactive,07th Expansion
3368,2008,Undefined Franchise,Sports,PC,nan,07th Expansion
3369,2005,Undefined Franchise,Misc,PS2,Ubisoft,Artificial Mind and Movement
3370,2016,Undefined Franchise,Visual Novel,PS4,PQube,Kadokawa Games
3371,2006,Undefined Franchise,Action,X360,Electronic Arts,EA Tiburon
3372,2008,Undefined Franchise,Sports,DS,Vir2L Studios,4J Studios
3373,2009,Undefined Franchise,Action,X360,Disney Interactive Studios,Eurocom Entertainment Software
3374,2003,Undefined Franchise,Strategy,PS2,Electronic Arts,Zono Incorporated
3375,2002,Undefined Franchise,Action,GBA,10TACLE Studios,Blitz Games
3376,2004,Undefined Franchise,Action,GBA,Vivendi Games,Saffire Corporation
3377,2012,Undefined Franchise,Simulation,X360,Namco Bandai,From Software
3378,2014,Undefined Franchise,Simulation,PSV,Namco Bandai Games,Idea Factory
3379,2007,Undefined Franchise,Misc,PS2,Brash Entertainment,Sensory Sweep Studios
3380,2018,Just Dance,Music,PS4,Ubisoft,Ubisoft Paris
3381,2007,Ratchet & Clank,Platform,PS3,Sony Computer Entertainment,Insomniac Games
3382,2014,Far Cry,Shooter,X360,Ubisoft,Ubisoft Montreal
3383,2007,Undefined Franchise,Strategy,PS2,Banpresto,Banpresto
3384,1999,Undefined Franchise,Fighting,DC,Sega,Sega
3385,2003,Undefined Franchise,Misc,GBA,Hudson Entertainment,Jupiter Corporation
3386,2018,Undefined Franchise,Platform,NS,THQ Nordic,THQ Nordic
3387,2017,Undefined Franchise,Role-Playing,XOne,THQ Nordic,Airship Syndicate
3388,2001,Undefined Franchise,Platform,GBA,Crave Entertainment,H2O Entertainment
3389,2015,Undefined Franchise,Action-Adventure,X360,Activision,Vicarious Visions
3390,2017,Undefined Franchise,Role-Playing,PS4,Tecmo Koei,Gust
3391,2009,Undefined Franchise,Puzzle,Wii,Destineer,cerasus.media GmbH
3392,2006,Mario,Platform,DS,Nintendo,Nintendo EAD
3393,2006,Undefined Franchise,Puzzle,PSP,Ubisoft,Sumo Digital
3394,2007,Undefined Franchise,Action,PSP,Konami,Climax Group
3395,1997,Undefined Franchise,Simulation,PS,Sony Computer Entertainment,From Software
3396,2009,Undefined Franchise,Fighting,Wii,Aksys Games,Arc System Works
3397,2005,Undefined Franchise,Misc,GBA,DSI Games,DSI Games
3398,2011,Undefined Franchise,Misc,PS3,Sony Computer Entertainment,07th Expansion
3399,2017,Undefined Franchise,Action-Adventure,PS4,Sony Interactive Entertainment,SIE Japan Studio
3400,2010,Undefined Franchise,Adventure,Wii,Graffiti,Virtual Identity
3401,2013,Undefined Franchise,Simulation,PS3,Focus Home Interactive,Giants Software
3402,2012,Undefined Franchise,Puzzle,WiiU,Warner Bros. Interactive Entertainment,5TH Cell
3403,2009,Undefined Franchise,Misc,DS,Atlus,Sting
3404,2005,Undefined Franchise,Racing,PSP,Codemasters,07th Expansion
3405,2003,Medal of Honor,Shooter,GBA,Electronic Arts,07th Expansion
3406,2013,Undefined Franchise,Misc,PC,04-Aug,nan
3407,2018,Undefined Franchise,Simulation,NS,Natsume,Natsume
3408,2001,Undefined Franchise,Racing,PS2,Acclaim Entertainment,Acclaim Studios Cheltenham
3409,2002,Undefined Franchise,Strategy,GBA,Titus,Titus Software
3410,2008,Undefined Franchise,Platform,DS,Activision,TOSE
3411,2005,Undefined Franchise,Platform,DS,Nintendo,Nintendo EAD
3412,2004,Undefined Franchise,Sports,PS2,Sony Computer Entertainment,SCEE London Studio
3413,2006,Undefined Franchise,Platform,DS,Activision,Vicarious Visions
3414,2011,Undefined Franchise,Adventure,PSP,Comfort,Comfort
3415,2018,Undefined Franchise,Racing,PS4,Milestone S.r.l.,Milestone S.r.l.
3416,2002,Undefined Franchise,Adventure,PS2,Sony Computer Entertainment,Millennium Kitchen
3417,1989,Undefined Franchise,Sports,GB,Nintendo,Nintendo R&D1
3418,2016,Undefined Franchise,Shooter,PC,nan,07th Expansion
3419,2017,Undefined Franchise,Action,PSV,NIS America,Nippon Ichi Software
3420,2004,Undefined Franchise,Sports,GC,Activision,MagicWand
3421,2002,Undefined Franchise,Racing,GC,Acclaim Entertainment,Criterion Games
3422,2012,Undefined Franchise,Misc,WiiU,Namco Bandai Games,Namco Bandai Games
3423,2004,Final Fantasy,MMO,PS2,Square Enix,Square Enix
3424,2006,Undefined Franchise,Sports,PS2,Bandai,Bandai Namco Games
3425,2001,Undefined Franchise,Action,PC,Eidos Interactive,Core Design Ltd.
3426,2011,Undefined Franchise,Misc,Wii,GameMill,High Voltage Software
3427,2002,Undefined Franchise,Platform,XB,Microsoft Game Studios,Artoon
3428,2010,Undefined Franchise,Simulation,PSP,D3 Publisher,DreamXCreate
3429,2011,Undefined Franchise,Action,PS3,THQ,THQ
3430,2013,Tales,Platform,PS3,Capcom,WayForward
3431,2007,Undefined Franchise,Action,X360,Sierra Entertainment,Radical Entertainment
3432,2008,Undefined Franchise,Adventure,DS,Aspyr,Nobilis
3433,2010,Undefined Franchise,Role-Playing,DS,Activision,20th Century Fox Video Games
3434,2005,Undefined Franchise,Misc,GBA,THQ,Sonic Team
3435,2011,Undefined Franchise,Shooter,X360,Cave,Cave
3436,2011,Undefined Franchise,Misc,PC,nan,TopWare Interactive
3437,2016,Undefined Franchise,Action,PSV,Aksys Games,07th Expansion
3438,2010,Pro Evolution Soccer,Sports,Wii,Konami,Konami
3439,2005,Undefined Franchise,Strategy,PS2,KOEI,Koei
3440,1998,Undefined Franchise,Sports,PS,Victor Interactive,Victor Interactive Software
3441,2003,Undefined Franchise,Sports,PS2,Activision,Toys for Bob
3442,2011,Undefined Franchise,Platform,DS,505 Games,07th Expansion
3443,2017,Undefined Franchise,Visual Novel,PSV,5pb,5pb. Inc.
3444,2009,Undefined Franchise,Puzzle,Wii,Aksys Games,Eiconic Games
3445,2016,Undefined Franchise,Action,XOne,Microsoft Studios,Remedy Entertainment
3446,2009,Undefined Franchise,Adventure,PC,Mastertronic,Mastertronic
3447,2009,Guitar Hero,Misc,PS2,Activision,BudCat Creations
3448,2009,Undefined Franchise,Shooter,PS2,Activision,Activision
3449,2007,Undefined Franchise,Misc,DS,SVG Distribution,Neko Entertainment
3450,1997,Undefined Franchise,Sports,PS,Hot-B,nan
3451,2002,Undefined Franchise,Sports,GC,Midway Games,Point of View
3452,2008,Undefined Franchise,Platform,PSP,Atari,SilverBirch Studios
3453,2016,Resident Evil,Action,XOne,Capcom,Capcom
3454,2007,Mega Man,Platform,DS,Capcom,Inti Creates
3455,2008,Undefined Franchise,Misc,X360,Disney Interactive Studios,Zoe Mode
3456,2018,Mega Man,Platform,XOne,Capcom Entertainment,Digital Eclipse Software
3457,2006,FIFA,Sports,PC,EA Sports,EA Canada
3458,2008,Undefined Franchise,Misc,Wii,XS Games,Broadsword Interactive
3459,2012,Undefined Franchise,Adventure,PS3,Focus Home Interactive,Frogwares
3460,2010,Undefined Franchise,Platform,Wii,Disney Interactive Studios,Junction Point Studios
3461,1998,Undefined Franchise,Sports,N64,Crave Entertainment,Celeris
3462,2010,Undefined Franchise,Action,PC,Disney Interactive Studios,Avalanche Software
3463,2017,Undefined Franchise,Adventure,XOne,Warner Bros. Interactive Entertainment,Telltale Games
3464,2012,Undefined Franchise,Strategy,WiiU,Tecmo Koei,Tecmo Koei Games
3465,2007,Undefined Franchise,Sports,PS3,Ubisoft,Ubisoft Montreal
3466,2001,Undefined Franchise,Strategy,PC,04-Aug,Blue Byte
3467,2008,Undefined Franchise,Adventure,PS2,5pb,Genterprise
3468,2003,Undefined Franchise,Action,GBA,Atari,Atari Games
3469,1997,Mega Man,Platform,PS,Capcom,Capcom
3470,2006,Undefined Franchise,Racing,X360,Sega,Pseudo Interactive
3471,2009,Undefined Franchise,Misc,X360,Microsoft Game Studios,iNiS
3472,2008,Tales,Role-Playing,X360,Namco Bandai,Namco Tales Studio
3473,2017,Undefined Franchise,Adventure,XOne,Microsoft Studios,Asobo Studio
3474,2016,Undefined Franchise,Music,PS4,Ubisoft,Ubisoft
3475,2018,Undefined Franchise,Adventure,3DS,Aksys Games,Arc System Works
3476,2003,Undefined Franchise,Action,PC,nan,07th Expansion
3477,1996,Undefined Franchise,Action,PS,Electronic Arts,Delphine Software International
3478,2008,Assassin's Creed,Action,DS,Ubisoft,Gameloft
3479,2014,Undefined Franchise,Misc,3DS,FuRyu Corporation,nan
3480,2011,Undefined Franchise,Adventure,3DS,Natsume,Natsume
3481,2011,Undefined Franchise,Sports,PC,PQube,DTP Entertainment
3482,2002,Undefined Franchise,Shooter,PS2,Capcom,Capcom
3483,2009,Undefined Franchise,Shooter,PS3,Atari,Starbreeze Studios AB
3484,2000,Undefined Franchise,Adventure,PS2,KOEI,Koei/Inis
3485,2011,Undefined Franchise,Misc,PS3,Ubisoft,Longtail Studios
3486,2002,Undefined Franchise,Fighting,PS2,Agetec,Enterbrain
3487,2010,Undefined Franchise,Misc,PS2,Hackberry,Hack Berry
3488,2009,Undefined Franchise,Simulation,DS,Electronic Arts,EA Redwood Shores
3489,2015,Final Fantasy,Role-Playing,XOne,Square Enix,Square Enix
3490,2012,Undefined Franchise,Action-Adventure,WiiU,THQ,Vigil Games
3491,2017,Undefined Franchise,Action,XOne,Bethesda Softworks,Arkane Studios
3492,1998,Undefined Franchise,Sports,PS,Midway Games,Midway Games
3493,2010,Football Manager,Sports,PSP,Sega,Sports Interactive
3494,2009,Undefined Franchise,Action,PS2,Activision,Amaze Entertainment
3495,2006,Undefined Franchise,Action,DS,DSI Games,Frame Studios Interactive
3496,2014,Undefined Franchise,Adventure,PSV,Nippon Ichi Software,Nippon Ichi Software
3497,2020,Undefined Franchise,Action,3DS,Namco Bandai Games,Namco Bandai Games
3498,2008,Undefined Franchise,Simulation,PC,Electronic Arts,Kuju Entertainment
3499,2010,Undefined Franchise,Shooter,X360,Cave,Cave
3500,2015,Undefined Franchise,Action,XOne,Ubisoft,Signal Studios
3501,2008,Undefined Franchise,Simulation,DS,Namco Bandai,Namco Bandai Games
3502,2005,Undefined Franchise,Misc,GBA,THQ,Blitz Games
3503,2006,Undefined Franchise,Action,PS2,Codemasters,nan
3504,1998,Undefined Franchise,Adventure,SAT,NEC Interchannel,07th Expansion
3505,2018,FIFA,Sports,PS3,Electronic Arts,EA Sports
3506,2008,Pro Evolution Soccer,Sports,PSP,Konami,Konami
3507,1996,Undefined Franchise,Shooter,SAT,Acclaim Entertainment,Aisystem Tokyo
3508,2008,Undefined Franchise,Sports,DS,Conspiracy Entertainment,49Games
3509,2017,Undefined Franchise,Sports,PS4,MLB.com,MLB.com
3510,2011,Undefined Franchise,Misc,X360,Activision,Endemol
3511,2005,Undefined Franchise,Racing,PC,ValuSoft,SCS Software
3512,2002,Undefined Franchise,Role-Playing,GBC,Nintendo,07th Expansion
3513,2009,Undefined Franchise,Misc,DS,P2 Games,07th Expansion
3514,1998,Undefined Franchise,Sports,N64,Midway Games,Midway Games
3515,2011,Undefined Franchise,Strategy,DS,2K Play,Black Lantern Studios
3516,2007,Undefined Franchise,Adventure,PC,Activision,Human Soft / Ivolgamus
3517,1997,Undefined Franchise,Platform,PS,GT Interactive,Oddworld Inhabitants
3518,2011,Undefined Franchise,Action,X360,THQ,THQ
3519,2006,Tony Hawk's,Sports,PS3,Activision,Neversoft Entertainment
3520,2016,Undefined Franchise,Adventure,PC,Spike Chunsoft,Spike Chunsoft
3521,2011,Undefined Franchise,Role-Playing,PC,Electronic Arts,Maxis
3522,2017,Undefined Franchise,Action,PSV,Aksys Games,Aksys Games
3523,2000,Undefined Franchise,Platform,PS2,Ubisoft,Disney Interactive Studios
3524,2013,FIFA,Sports,PSP,EA Sports,EA Canada
3525,2002,Undefined Franchise,Fighting,GBA,Acclaim Entertainment,Powerhead Games
3526,2009,Undefined Franchise,Strategy,PC,nan,Sekerin Productions
3527,2008,Undefined Franchise,Simulation,Wii,Electronic Arts,EA Salt Lake
3528,2006,Undefined Franchise,Action,XB,THQ,07th Expansion
3529,2017,Undefined Franchise,Music,NS,PM Studios,Nurijoy
3530,2008,Undefined Franchise,Simulation,PS2,Konami,Konami Computer Entertainment Tokyo
3531,2004,Undefined Franchise,Misc,GBA,Majesco,07th Expansion
3532,2014,Undefined Franchise,Misc,PC,Atlus,nan
3533,2009,Tekken,Fighting,X360,Namco Bandai,Namco Bandai Games
3534,2013,Undefined Franchise,Simulation,3DS,Natsume,07th Expansion
3535,2007,Undefined Franchise,Racing,PS3,THQ,Rainbow Studios
3536,2013,Undefined Franchise,Shooter,PS3,City Interactive,City Interactive
3537,2010,Tom Clancy's,Shooter,PSP,Ubisoft,Ubisoft
3538,1998,Undefined Franchise,Sports,PS,Sony Computer Entertainment,Camelot Software Planning
3539,2011,Need for Speed,Racing,X360,Electronic Arts,EA Black Box
3540,2006,Undefined Franchise,Puzzle,GBA,Take-Two Interactive,Global Star Software
3541,2016,Undefined Franchise,Adventure,PC,Microids,07th Expansion
3542,2010,Undefined Franchise,Sports,PSP,Tecmo Koei,Tecmo Koei Games
3543,2001,Undefined Franchise,Racing,GBA,BAM! Entertainment,Crawfish Interactive
3544,2017,Assassin's Creed,Action,PS4,Ubisoft,Ubisoft Montreal
3545,1999,Undefined Franchise,Shooter,PS,Namco,TOSE
3546,1999,Undefined Franchise,Platform,PC,nan,07th Expansion
3547,2010,Undefined Franchise,Shooter,PSP,Namco Bandai,WitchCraft
3548,1995,Mario,Puzzle,SNES,Nintendo,Jupiter Multimedia
3549,2008,Undefined Franchise,Misc,DS,Disney Interactive Studios,Handheld Games
3550,2017,Undefined Franchise,Action,PS4,Bethesda Softworks,Arkane Studios
3551,2004,Undefined Franchise,Platform,GBA,Nintendo,Nintendo
3552,2007,Undefined Franchise,Misc,PSP,Blast! Entertainment Ltd,07th Expansion
3553,2015,Undefined Franchise,Role-Playing,PSV,Namco Bandai Games,Namco Bandai Games
3554,2009,Undefined Franchise,Puzzle,DS,Activision,Activision
3555,2002,James Bond,Shooter,PC,Electronic Arts,Gearbox Software
3556,2011,Undefined Franchise,Shooter,PC,THQ,Volition Inc.
3557,2003,Undefined Franchise,Simulation,PC,nan,07th Expansion
3558,2004,Undefined Franchise,Platform,GC,Activision,Adrenium Games
3559,2005,Undefined Franchise,Racing,GBA,Namco,Raylight Studios
3560,2003,Undefined Franchise,Fighting,GC,EA Sports BIG,Aki Corporation
3561,2008,Destiny,Strategy,PS2,Konami,Konami
3562,2003,Undefined Franchise,Platform,GC,THQ,Blitz Games
3563,2011,Kirby,Platform,Wii,Nintendo,HAL Laboratory
3564,2009,Undefined Franchise,Misc,PS2,2K Play,High Voltage Software
3565,2016,Undefined Franchise,Role-Playing,PS4,Aksys Games,tri-Ace
3566,2003,Undefined Franchise,Sports,PS2,Midway Games,Point of View
3567,2009,Undefined Franchise,Adventure,DS,Nippon Ichi Software,Nippon Ichi Software
3568,2001,Undefined Franchise,Shooter,PC,Gathering of Developers,Remedy Entertainment
3569,2005,Undefined Franchise,Sports,XB,Global Star Software,Celeris
3570,2002,Undefined Franchise,Sports,GBA,EA Sports BIG,Visual Impact
3571,2009,Mario,Sports,DS,Sega,Sega
3572,2000,Gundam,Fighting,PS,Bandai,Bandai
3573,2004,Undefined Franchise,Misc,XB,Codemasters,Mix Max
3574,1999,Undefined Franchise,Misc,PS,Hasbro Interactive,Runecraft
3575,2005,Undefined Franchise,Misc,GBA,DSI Games,Black Lantern Studios
3576,2008,Undefined Franchise,Simulation,Wii,Ubisoft,Ludia Inc.
3577,2007,Guitar Hero,Misc,Wii,RedOctane,Vicarious Visions
3578,2008,Undefined Franchise,Shooter,PS3,D3 Publisher,Digital Extremes
3579,2003,Undefined Franchise,Racing,GBA,DSI Games,Magic Pockets
3580,2002,Undefined Franchise,Fighting,XB,Microsoft Game Studios,DreamFactory
3581,2013,Undefined Franchise,Misc,PS3,Namco Bandai Games,nan
3582,2017,Undefined Franchise,Action,PS4,NIS America,AQUA STYLE
3583,2014,Undefined Franchise,Action,PC,Devolver Digital,07th Expansion
3584,2018,Undefined Franchise,Platform,PS4,Rising Star Games,Image & Form Games
3585,2012,Undefined Franchise,Action,PC,04-Aug,07th Expansion
3586,2010,Undefined Franchise,Simulation,DS,Electronic Arts,EA Salt Lake
3587,2010,Undefined Franchise,Action,PS3,Warner Bros. Interactive,Krome Studios
3588,1996,Street Fighter,Fighting,SAT,Capcom,Capcom
3589,2009,Undefined Franchise,Simulation,DS,505 Games,505 Games
3590,2010,Undefined Franchise,Sports,Wii,Ghostlight,Infusion Games Ltd
3591,2016,Undefined Franchise,Role-Playing,PC,Capcom,Capcom
3592,2018,Undefined Franchise,Sports,PS4,Sony Interactive Entertainment,07th Expansion
3593,2004,Mega Man,Platform,PS2,Capcom,Capcom
3594,2009,Undefined Franchise,Adventure,DS,Focus Home Interactive,Frogwares
3595,2011,Undefined Franchise,Fighting,DS,Namco Bandai,Ganbarion
3596,2010,Undefined Franchise,Adventure,X360,Ubisoft,Telltale Games
3597,2014,WWE 2K,Sports,X360,2K Sports,Visual Concepts
3598,1994,Undefined Franchise,Fighting,NG,SNK,SNK Corporation
3599,2011,Undefined Franchise,Action,PSP,Namco Bandai,ArtDink
3600,2008,Pro Evolution Soccer,Sports,PC,Konami,Konami
3601,2014,Undefined Franchise,Action,3DS,GameMill,GameMill
3602,2010,Undefined Franchise,Adventure,DS,City Interactive,City Interactive
3603,2011,Undefined Franchise,Shooter,X360,Cave,Cave
3604,2018,Spyro,Platform,PS4,Activision,Toys for Bob
3605,1996,Undefined Franchise,Role-Playing,PS,Sony Computer Entertainment,ARC Entertainment
3606,2009,Undefined Franchise,Misc,DS,Mindscape,Mindscape
3607,2012,Undefined Franchise,Misc,PC,Sega,nan
3608,2011,Undefined Franchise,Sports,Wii,Tecmo Koei,Tecmo Koei Games
3609,2007,Undefined Franchise,Action,DS,Namco Bandai,Bandai Namco Games
3610,2005,Undefined Franchise,Fighting,XB,THQ,Studio Gigante
3611,2001,Halo,Shooter,XB,Microsoft,Bungie Studios
3612,2010,Undefined Franchise,Adventure,PC,Telltale Games,Telltale Games
3613,2012,Undefined Franchise,Action,PSP,Tecmo Koei,Omega Force
3614,2000,Undefined Franchise,Role-Playing,PC,Electronic Arts,Westwood Studios
3615,2003,Undefined Franchise,Misc,PS2,Konami,Harmonix Music Systems
3616,2011,Undefined Franchise,Shooter,PS3,Square Enix,Eidos Montreal
3617,2011,Undefined Franchise,Sports,DS,Konami,Konami
3618,2006,Undefined Franchise,Sports,XB,Mad Catz,In2Games / Aqua Pacific
3619,2002,Need for Speed,Racing,XB,Electronic Arts,EA Black Box
3620,2017,Undefined Franchise,Fighting,PS4,Namco Bandai Games,Eighting
3621,2009,Simple,Adventure,DS,D3 Publisher,Tomcat System
3622,2010,Fallout,Role-Playing,PC,Bethesda Softworks,Obsidian Entertainment
3623,2016,Undefined Franchise,Music,3DS,Nintendo,Nintendo
3624,2007,Undefined Franchise,Misc,DS,Ubisoft,Sensory Sweep Studios
3625,1997,Crash Bandicoot,Platform,PS,Sony Computer Entertainment,Naughty Dog
3626,2001,Destiny,Role-Playing,PS,Namco,07th Expansion
3627,1995,Undefined Franchise,Puzzle,PS,04-Aug,07th Expansion
